Met_station,Met_station_name,Met_Lat,Met_long,Met_elevation,Date (Local),Average daily wind speed,Precipitation,Snowfall,Snow depth,Temperature Average,Maximum temperature,Minimum temperature,Direction of fastest 2-minute wind,Direction of fastest 5-second wind,Fastest 2-minute wind speed,Fastest 5-second wind speed
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-18,14.32,0.0,0.0,0.0,,74,39,20,360.0,28.0,32.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-19,8.95,0.03,0.0,0.0,,62,39,260,260.0,30.0,36.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-20,10.74,0.0,0.0,0.0,,50,38,140,140.0,21.0,23.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-21,15.21,0.0,0.0,0.0,,74,27,230,230.0,36.0,49.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-22,18.12,0.0,0.0,0.0,,66,44,250,250.0,34.9,47.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-23,10.51,0.09,0.0,0.0,,48,33,170,160.0,29.1,33.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-24,4.92,0.32,0.3,0.0,,48,31,180,200.0,16.1,17.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-25,8.95,0.01,0.0,0.0,,56,37,290,290.0,23.0,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-26,11.18,0.07,1.0,0.0,,50,33,340,350.0,32.0,40.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-27,9.4,0.0,0.0,1.0,,49,33,320,330.0,28.0,36.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-28,10.51,0.0,0.0,0.0,,69,27,180,170.0,32.0,38.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-29,17.67,0.0,0.0,0.0,,73,32,250,250.0,44.1,53.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-30,12.97,0.0,0.0,0.0,,50,30,10,20.0,25.9,31.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-01,5.14,0.0,0.0,0.0,,43,29,90,80.0,19.9,23.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-02,7.61,0.0,0.0,0.0,,46,29,240,230.0,21.9,23.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-03,8.72,0.0,0.0,0.0,,66,25,220,220.0,23.0,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-04,14.54,0.0,0.0,0.0,,70,38,50,40.0,38.0,47.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-05,8.95,0.0,0.0,0.0,,66,30,160,170.0,25.9,32.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-06,9.17,0.0,0.0,0.0,,80,38,280,230.0,25.9,36.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-07,9.84,0.0,0.0,0.0,,84,42,210,210.0,33.1,46.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-08,13.42,0.0,0.0,0.0,,82,49,190,200.0,34.9,40.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-09,21.47,0.0,0.0,0.0,,79,55,200,190.0,45.0,55.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-10,12.97,0.0,0.0,0.0,,71,47,200,180.0,33.1,57.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-11,21.47,0.1,0.0,0.0,,54,38,330,330.0,32.0,40.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-12,18.34,0.0,0.0,0.0,,53,38,360,330.0,32.0,40.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-13,10.96,0.0,0.0,0.0,,67,37,10,340.0,23.9,32.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-14,7.16,0.06,0.0,0.0,,56,38,50,70.0,19.9,23.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-15,8.28,0.08,0.0,0.0,,47,35,160,210.0,17.9,34.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-16,9.84,0.0,0.0,0.0,,68,34,150,160.0,21.9,25.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-17,12.08,0.0,0.0,0.0,,73,41,20,10.0,25.1,32.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-18,11.86,0.29,0.0,0.0,,58,44,130,130.0,23.9,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-05-19,9.17,0.09,0.0,0.0,,60,40,360,10.0,30.0,33.1
