STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT18,WT19,WT22
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-20,11.41,1444,321,0.00,0.0,0.0,,68,38,170,220,29.1,36.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-21,15.66,1320,1156,0.00,0.0,0.0,,72,33,220,220,38.9,49.0,,,,,,,,1,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-22,19.91,2105,2038,0.00,0.0,0.0,,53,38,300,330,38.9,55.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-23,11.41,2,2,0.00,0.0,0.0,,56,32,300,300,33.1,45.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-24,13.65,1633,1631,0.00,0.0,0.0,,57,21,270,270,46.1,61.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-25,11.63,2109,2108,0.00,0.0,0.0,,62,27,260,250,33.1,40.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-26,11.18,2137,2057,0.03,0.0,0.0,,53,26,140,110,25.9,34.9,1,1,,,,,,,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-27,10.51,1546,1543,0.09,0.0,0.0,,52,29,140,130,23.9,29.1,1,1,,,,,,1,,,,,,,1,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-28,8.28,1355,1351,0.02,0.2,0.0,,53,29,60,50,25.9,31.1,1,1,,,,,,1,,,,,,,1,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-29,9.40,728,730,0.16,2.3,2.0,,43,28,290,300,23.0,31.1,1,1,,,,,,1,,,,,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-30,12.53,2000,2047,0.00,0.0,0.0,,59,28,300,290,28.0,40.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-31,19.46,1320,1210,0.00,0.0,0.0,,69,44,290,280,33.1,40.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-01,10.29,1106,1128,0.00,0.0,0.0,,61,39,150,140,23.0,28.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-02,14.32,1950,2007,0.00,0.0,0.0,,80,36,220,220,40.0,59.9,,,,,,,,,,,1,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-03,25.50,1313,1312,0.00,0.0,0.0,,69,28,10,10,45.0,55.0,,,,,,,,1,,,1,,,,1,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-04,8.50,110,103,0.00,0.0,0.0,,48,22,360,340,28.0,36.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-05,8.05,1332,1331,0.00,0.0,0.0,,76,30,300,300,33.1,45.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-06,11.41,334,1425,0.07,0.0,0.0,,61,39,340,160,30.0,38.0,1,,,,,,,1,,,,1,,,1,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-07,11.86,1322,1322,0.00,0.0,0.0,,65,39,230,240,31.1,36.9,,,,,,,,,,,,,,,1,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-08,16.11,1529,1528,0.00,0.0,0.0,,71,44,210,200,34.9,44.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-09,18.57,1328,1439,0.00,0.0,0.0,,71,41,220,210,42.9,53.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-10,16.11,951,650,0.00,0.0,0.0,,55,32,280,300,31.1,40.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-11,8.50,1630,1627,0.00,0.0,0.0,,60,28,170,170,23.0,28.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-12,8.28,2258,2258,0.00,0.0,0.0,,69,32,30,30,23.0,25.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-13,8.50,1723,1723,0.07,0.0,0.0,,59,39,160,160,29.1,36.9,1,,,,,,,,,,,,,,1,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-14,18.57,1507,1607,0.02,0.0,0.0,,57,34,350,360,36.9,44.1,1,,,,,,,1,,,,1,,,1,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-15,16.55,1124,1110,0.00,0.0,0.0,,59,31,360,10,31.1,38.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-16,8.05,1533,1532,0.00,0.0,0.0,,64,28,20,20,31.1,36.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-17,10.96,1329,1328,0.00,0.0,0.0,,78,38,280,270,38.0,49.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-18,14.32,2326,2354,0.00,0.0,0.0,,74,39,20,360,28.0,32.0,,,,,,,,1,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-19,8.95,1438,1437,0.03,0.0,0.0,,62,39,260,260,30.0,36.9,1,1,,,,,,,,,,1,,,1,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-20,10.74,949,948,0.00,0.0,0.0,,50,38,140,140,21.0,23.9,,,,,,,,1,,,,,,,1,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-21,15.21,1839,1839,0.00,0.0,0.0,,74,27,230,230,36.0,49.0,,,,,,,,1,,,,,,,,,,
